query,engine,limit,execution_time,nb_calls,nb_results,loading_time,resume_time,workload
L1,baseline,1,3.6097588539123535,106,21045,0.5340666141150132,0.04890954719399506,watdiv
L1,baseline,10,3.9593091011047363,106,21045,0.5515251519545069,0.05119476678236475,watdiv
L1,baseline,20,3.5942342281341553,106,21045,0.5082026967462504,0.04621046894001511,watdiv
L1,orderbyone,1,2.86023211479187,32,209,11.11195981502533,0.06834417581558228,watdiv
L1,orderbyone,10,2.3811399936676025,27,217,9.604886726096824,0.06034639146592882,watdiv
L1,orderbyone,20,2.6991848945617676,30,226,9.759736061096191,0.06320476531982422,watdiv
S7,orderby,1,4.199918746948242,47,1,9.209785055606924,0.05863067951608211,watdiv
S7,orderby,10,14.544211864471436,161,10,9.951367881727515,0.09442560421013683,watdiv
S7,orderby,20,26.337769031524658,289,20,10.127595551698677,0.12871220862576704,watdiv
S7,baseline,1,3.297999143600464,158,31490,0.9496528891068471,0.046665155434910253,watdiv
S7,baseline,10,3.524873971939087,158,31490,0.9976866879040682,0.05193299885037579,watdiv
S7,baseline,20,3.3061468601226807,158,31490,0.9504556655883789,0.04640259320222879,watdiv
S7,orderbyone,1,3.0045359134674072,34,200,9.61460786707261,0.062206212212057674,watdiv
S7,orderbyone,10,3.013306140899658,34,200,9.60860532872817,0.060908934649299175,watdiv
S7,orderbyone,20,3.0491721630096436,35,200,9.537070138113839,0.06041526794433594,watdiv
F4,orderby,1,1.4213850498199463,16,1,10.179206728935242,0.12612342834472656,watdiv
F4,orderby,10,6.09805703163147,67,10,9.651052418039805,0.16374018654894473,watdiv
